model,attack,base_class,target_class,epochs,lr,poison_num,epsilon,poison_num.1,watermark_opacity,step_size,iterations,n_runs,n_success,asr,clean_acc_mean,poisoned_acc_mean
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.05,60,0.2,0.01,4000,5,1,0.2,0.7641,0.6763
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.03,60,0.0,0.01,2000,5,1,0.2,0.7641,0.67018
model_cifar10_lr0.001_30epochs,fc,2,0,20,0.1,30,0.03,30,0.2,0.01,4000,5,0,0.0,0.7641,0.65938
model_cifar10_lr0.001_30epochs,fc,2,0,20,0.1,60,0.05,60,0.0,0.01,4000,5,0,0.0,0.7641,0.6980999999999999
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.01,30,0.0,0.01,2000,5,0,0.0,0.7641,0.68528
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.01,30,0.0,0.01,4000,5,0,0.0,0.7641,0.6847799999999999
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.01,30,0.2,0.01,2000,5,0,0.0,0.7641,0.67844
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.01,30,0.2,0.01,4000,5,0,0.0,0.7641,0.6993400000000001
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.03,30,0.0,0.01,4000,5,0,0.0,0.7641,0.69474
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.03,30,0.2,0.01,4000,5,0,0.0,0.7641,0.6877800000000001
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.05,30,0.0,0.01,2000,5,0,0.0,0.7641,0.69384
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.05,30,0.2,0.01,4000,5,0,0.0,0.7641,0.6919799999999999
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.01,60,0.0,0.01,2000,5,0,0.0,0.7641,0.69168
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.01,60,0.2,0.01,2000,5,0,0.0,0.7641,0.68184
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.01,60,0.2,0.01,4000,5,0,0.0,0.7641,0.67562
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.03,60,0.0,0.01,2000,5,0,0.0,0.7641,0.69574
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.03,60,0.2,0.01,2000,5,0,0.0,0.7641,0.6917199999999999
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.05,60,0.0,0.01,4000,5,0,0.0,0.7641,0.6760200000000001
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.05,60,0.2,0.01,2000,5,0,0.0,0.7641,0.69576
